CompanyName,Sector,Stage,Fund_Amount,HeadQuarter,What_it_does,Funding_Year
Cancer Clinics,HealthCare,Pre-series A,"$1,500,000",Telugana,"Cancer Helpline is a source of information and support, helping with all the things that people affected by cancer want and need.",2021
Velocity,FinTech,Seed,"$1,300,000",Bangalore,Velocity provides revenue-based-financing to online businesses. It aims to build the future of banking and financial services for new age businesses in India.,2021
Happy Jars,Food & Beverages,Seed,"$400,000",New Delhi,"Manufacture and retail a delicious range of all-natural nut butters, made without oil, sugar or preservatives.",2021
Inshorts,Media,,"$40,000,000",Noida,Inshorts is a news aggregator application that collects and summarizes news based on user behavior and preferences.,2021
ExtraaEdge,MarTech,Pre-series A,"$1,000,000",Pune,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,2021
Zotalabs,Tech Startup,Seed,"$1,250,000",Pune,Zotalabs gives the power of Emerging Technology to your digital automation with our easy to use APIs.,2021
Voiro,Advertisement,Pre-series A,"$1,800,000",Bangalore,Voiro is the first all-in-one revenue management suite exclusively for ad-led digital publishers across media.,2021
Dream Sports,Gaming,,"$400,000,000",Mumbai,"Dream Sports is India’s leading sports technology company with brands such as Dream11, FanCode, DreamX and DreamSetGo in its portfolio.",2021
Safex Chemicals,AgriTech,,"$50,000,000",New Delhi,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry.,2021
Instoried,Content creation,,Undisclosed,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2021
Rupifi,FinTech,Pre-series A,"$4,100,000",Bangalore,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,2021
Moneyboxx,FinTech,Debt,"$3,000,000",Mumbai,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,2021
CityMall,E-commerce,Series A,"$11,000,000",Gurugram,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,2021
Janani,Heathcare,Seed,"$1,000,000",Bangalore,Janani.ai is a fertility care provider.,2021
ReshaMandi,AgriTech,Seed,"$1,700,000",Bangalore,India's 1st award winning technology led digital ecosystem for Silk,2021
Bombay Shaving Company,Lifestyle,,"$2,000,000",New Delhi,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.",2021
DotPe,FinTech,Series A,"$27,000,000",Gurugram,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,2021
Homingos,Augmented reality,,Undisclosed,Bangalore,Homingos is an Augmented reality (AR)-based social networking platform.,2021
Anar Business Community,Tech Startup,,Undisclosed,Mumbai,Anar is a communications and networking platform for businesses around the world.,2021
Five Star Finance,FinTech,,"$234,000,000",Chennai,Five-Star is a Registered Non Banking Finance Company (NBFC) with Reserve Bank of India (RBI).,2021
Settlrs,Rental space,Pre-series A,Undisclosed,Bangalore,"A B2B rental services company for furniture, home appliances, electronic and IT infrastructure.",2021
BYJU'S,EdTech,Series F,"$460,000,000",Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2021
Annapurna Finance,FinTech,,"$30,000,000",Bhubaneswar,Annapurna Microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women.,2021
HealthPlix,HealthCare,Series B,"$13,500,000",Bangalore,HealthPlix is a healthtech startup,2021
Masai School,EdTech,Series A,"$5,000,000",Bangalore,Masai School is a job-oriented software training services.,2021
Bewakoof,D2C Fashion,,"$4,000,000",Mumbai,"Society perceives Bewakoof as stupid.But what does society call Bewakoof?Often, it’s anything different or anything that’s done differently.",2021
IndiaLends,FinTech,,"$5,100,000",New Delhi,IndiaLends is a digital lending and borrowing marketplace.,2021
Stelis Biopharma,BioTechnology,Series B,"$195,000,000",Bangalore,Stelis Biopharma is a vertically integrated biopharmaceutical company.,2021
Tilt,Bike Rental,,"$125,000",Bangalore,A bike-share for Indian campuses,2021
NeoDove,AI startup,Seed,"$15,000,000",Jaipur,"Neodove is an AI-powered, end to end tech-enabled customer communication and reporting solution.",2021
Zaara Biotech,BioTechnology,,"$10,000,000",Kottayam,India's First Algal-seaweed Biotechnology Students' Startup in collaboration with ICAR- Central Institute of fisheries and Technology,2021
KreditBee,FinTech,Seed,"$75,000,000",Bangalore,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,2021
True Balance,FinTech,Debt,"$10,000,000",Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2021
Muvin,FinTech,Seed,"$1,000,000",Bangalore,Youth Neobank enabling financial solutions for the teenagers and young people,2021
Purplle,Beauty products,,"$45,000,000",Mumbai,"Purplle is an online store selling cosmetics, fragrances, skin, and hair care products.",2021
FloBiz,Tech Startup,Series A,"$10,000,000",Bangalore,India’s first neobusiness platform,2021
Jeevam Health,Health care,Pre-seed,"$1,500,000",New Delhi,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,2021
NewLink Group,Tech Startup,,"$200,000,000",Beijing,Developer of an energy management and transportation digital platform designed to streamline the energy supply chain,2021
OZiva,Heathcare,Series B,"$12,000,000",Mumbai,OZiva is a plant-based Clean Nutrition Brand.,2021
Blive,Tourism,Pre-series A,"$1,000,000",Panaji,B: Live is an electric vehicle tourism startup.,2021
Nazara Technologies,Gaming,,"$30,000,000",Mumbai,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.",2021
Euler Motors,Automotive,Series A,"$2,600,000",New Delhi,Electric Light Commercial Vehicle,2021
Pixxel,SpaceTech,Seed,"$7,300,000",Bangalore,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,2021
Prescinto,Solar,Seed,"$3,500,000",Gujarat,Prescinto is the brain of a solar plant delivering Actionable Intelligence to Increase Generation.,2021
MyGlamm,Beauty products,Series C,"$20,000,000",Mumbai,MyGlamm is a direct-to-consumer brand of award winning European beauty products.,2021
Chirrup,Gaming,Pre-seed,"$300,000",Bangalore,Video integrated social-gaming platform,2021
Policybazaar,Insurance,,"$75,000,000",Gurugram,PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products.,2021
Livve Homes,Rental space,,"$5,000,000",Bangalore,"India's homegrown online portal, championing the region for a brighter, more exciting livvable future. Right from simply connecting owners and tenants and to managing everything in between",2021
Juicy Chemistry,HealthCare,Series A,"$6,300,000",Coimbatore,Juicy Chemistry operates as an eponymous consumer brand.,2021
Svasti Microfinance,FinTech,,"$4,000,000",Mumbai,Svasti works with urban slum dwellers women microentrepreneurs.,2021
Nexprt,Consulting,,"$2,000,000",New Delhi,Nexprt Solutions offers end-to-end and 100% customized import solutions.,2021
Wysa,AI startup,,Undisclosed,Bangalore,Wysa is an AI conversational agent that has been shown to help improve mental health,2021
Ankur capital,FinTech,,"$40,000,000",Mumbai,Early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion Indians.,2021
Indifi,FinTech,Debt,"$5,000,000",Gurugram,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,2021
Firmway,FinTech,Pre-seed,Undisclosed,Mumbai,Firmway is a platform that digitizes balance confirmation and reconciliation process.,2021
Say Cheese,FemTech,Seed,"$1,000,000",Mumbai,"Say Cheese is the first holistic women-happiness platform in India, focused to increase the happiness of women through personalized solutions",2021
Indic Inspirations,Cultural,,"$300,000",Pune,"Indian Souvenirs online that reflect Indian tradition, culture & stories. Best for personal gifting and corporate gifting.",2021
Bimaplan,FinTech,Seed,"$500,000",Mumbai,Affordable insurance for the next billion Indians,2021
YAP,FinTech,Series B,"$10,000,000",Chennai,YAP is the API Platform for Banking and Payments products in Asia. More than 200 Fintechs across Asia rely on YAP,2021
Leap Finance,FinTech,Series B,"$17,000,000",Bangalore,Leap Finance is a fintech startup for Indian students pursuing international higher education,2021
BlackSoil NBFC,FinTech,,"$3,000,000",Mumbai,BlackSoil Capital has transformed into an alternative NBFC and AIF Fund platform with an expertise to finance multiple sectors.,2021
OYO,Hospitality,,"$200,000,000",Gurugram,OYO operates a branded network of hotels designed to offer standardized stay experiences.,2021
Max Healthcare,HealthCare,,"$140,000,000",New Delhi,Max Healthcare is one of the leading chain of hospitals in India.,2021
4baseCare,HealthTech,Pre-series A,"$2,000,000",Bangalore,4baseCare develops a unified and patient-centric ecosystem to fight cancer.,2021
Ezstays,EdTech,Seed,"$400,000",New Delhi,"Ezstays is a leading student-life network, providing hostels and PG accommodation with top-tier living facilities at the best prices.",2021
Stylework,Co-working,Pre-series A,"$500,000",Gurugram,Stylework is an unconventional co-working space aggregator that is going to change the way people work.,2021
Kinara Capital,FinTech,,"$6,000,000",Bangalore,Kinara Capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs.,2021
Riskcovry,InsureTech,Series A,"$5,000,000",Bangalore,"Riskcovry is an ""Insurance-in-a-box” model offers a one-stop-shop platform to cater to any business's digital insurance needs.",2021
NODWIN,Gaming,,"$20,000,000",Gurugram,NODWIN Gaming is a gaming solutions company and creator of e-sports events.,2021
Quizizz,EdTech,Series A,"$12,500,000",Bangalore,Quizizz is a Education based startup,2021
Ecom Express,E-commerce,,"$20,000,000",New Delhi,Ecom Express is an end-to-end technology-enabled logistics solutions provider to the Indian e-commerce industry.,2021
Turtlemint,InsureTech,Series D,"$45,000,000",Mumbai,Turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers.,2021
Captain Fresh,Supply chain platform,Seed,"$3,000,000",Bangalore,Captain Fresh is a freshwater fish and seafood supply chain platform.,2021
Northern Arc,FinTech,Debt,"$10,000,000",Chennai,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,2021
Qoohoo,Social platform,Seed,"$800,000",Bangalore,A platform for creators to build immersive connections with their fans and followers and monetize them.,2021
IGL,Gaming,,"$500,000",Mumbai,Indian Gaming League is the premier eSports platform in India.,2021
AMPM,E-commerce,,"$200,000",Gurugram,24*7 convenience store,2021
The ePlane,Drone,Seed,"$1,000,000",Chennai,"Transforming the mobility landscape using aerial transport. Currently, we build drones for industrial applications",2021
Cashify,E-commerce,,"$15,000,000",Gurugram,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,2021
Bijnis,B2B service,,Undisclosed,New Delhi,Digitizing the Factories of the Unorganised Industries.,2021
Questt,EdTech,Seed,"$1,000,000",Gurugram,Questt is a homework app that allows teachers to allocate objective and subjective homework based on selected content.,2021
DealShare,E-commerce,Debt,"$3,000,000",Jaipur,DealShare is a Social Commerce Startup,2021
Euler Motors,Automotive,Series A,"$4,000,000",New Delhi,Electric Light Commercial Vehicle,2021
Blume Ventures,FinTech,,"$40,000,000",Mumbai,Blume Ventures provides pre-series A and early stage funding to tech-focused/tech-enabled ventures.,2021
KoineArth,Blockchain startup,Pre-series A,"$1,800,000",Bangalore,"Koinearth is a stealth mode startup working at the intersection of blockchains, machine learning and mechanism design",2021
ImaginXP,EdTech,,"$1,500,000",Pune,ImaginXP is a curriculum company with a focus on training and certification in UX Design and Design Thinking.,2021
Virohan,EdTech,,Undisclosed,Gurugram,Virohan is an edtech company using technology to prepare a future-ready workforce for the healthcare industry.,2021
Apna.co,Recruitment,,"$12,500,000",Bangalore,Apna is a recruitment platform that gives opportunities for blue or grey collar jobs.,2021
ideaForge,Drone,,"$2,000,000",Mumbai,ideaForge is an Indian company engaged in the development of unmanned aerial systems.,2021
Clairco,CleanTech,,"$500,000",Bangalore,Clairco provides enhanced air purification and real-time insights for breathable air indoors.,2021
Northern Arc,FinTech,Debt,"$50,000,000",Chennai,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,2021
Lenskart,Fashion,,"$95,000,000","Faridabad, Haryana",Lenskart is an India-based online shopping portal for eyewear.,2021
ParkSmart,Automotive,Seed,Undisclosed,New Delhi,ParkSmart is a parking management application.,2021
Virohan,EdTech,Series A,"$3,000,000",Gurugram,Virohan is an EdTech company that offers healthcare vocational training to students to build a career in the healthcare industry.,2021
BankSathi,FinTech,Seed,"$200,000",New Delhi,"Bank Sathi provides loans, insurance, cards comparison, and approval facility.",2021
Spark Studio,EdTech,Seed,Undisclosed,Bangalore,Online courses to build creativity and confidence in children through extra-curricular learning,2021
BlissClub,Fashion,Seed,"$2,000,000",Bangalore,"BlissClub is a community first women’s activewear brand. It is a Direct-to-Consumer brand in the active lifestyle space, founded in 2020 by ISB Alum Minu Margeret",2021
BricSpaces,Real estate,Pre-seed,"$350,000",Bangalore,"A prop-tech company that finds and customizes offices, living, or retail spaces based on your requirements.",2021
ANSR,Consulting,Series B,"$15,000,000",Bangalore,"ANSR Consulting is providing end-to-end services for companies, setting up captive service centers.",2021
Keito,AI company,Seed,Undisclosed,Pune,"NO-CODE <> Human-assisted machine learning platform for document processing, to break information silos for enterprises",2021
Reccy Adventures,Sports startup,Seed,"$400,000",Gurugram,Reccy Adventures is an adventure sports startup.,2021
Magenta EV,Renewable Energy,Series A,"$15,000,000",Mumbai,Magenta is in the business of Enabling electric mobility & Making electricity clean,2021
Karbon Card,FinTech,Pre-series A,"$1,000,000",Bangalore,Karbon Card is a financial platform for Indian entrepreneurs.,2021
Wysa,AI company,Series A,"$5,000,000",Bangalore,Wysa is an AI conversational agent that has been shown to help improve mental health,2021
Agnikul,SpaceTech,Series A,"$11,000,000",Chennai,"Agnikul is a space tech startup that designs, manufactures, tests, and launch orbital class rockets for micro and nano satellites.",2021
LegalPay,FinTech,Seed,Undisclosed,New Delhi,A trusted financial partner for advocates and corporate.,2021
Glamplus,SaaS startup,Pre-series A,"$200,000",Bangalore,India's #1 SaaS based Salon experience Software,2021
Tekie,EdTech,Seed,"$1,500,000",Gurugram,"Tekie is a live coding platform for kids that uses the power of storytelling, to make learning to code a movie-like experience.",2021
Asirvad Microfinance,FinTech,,"$15,000,000",Chennai,Asirvad Microfinance provides microfinance loans to women from a poor and low-income households.,2021
Avalon Labs,FinTech,Pre-series A,Undisclosed,Bangalore,"Avalon Labs incubates, invests, partners with and spearheads technology companies that are on the cutting edge.",2021
Betterhalf.ai,Matrimony,Pre-series A,"$3,000,000",Bangalore,India’s first and only matrimony app without parents. 10L verified profiles 20L matches 50K relationships 3K marriages,2021
Koo,Social Media,Series B,"$30,000,000",Bangalore,Koo App operates as a microblogging app.,2021
Rezo.ai,AI startup,Seed,Undisclosed,Noida,Conversational AI platform - Innovate the way you communicate,2021
Mentoria,EdTech,Pre-series A,"$200,000",Mumbai,Mentoria is a holistic career discovery platform that enables students to discover themselves and the careers they will enjoy and excel at.,2021
Cuvette Tech,Human Resources,Seed,"$1,800,000",Bangalore,Help startups to find interns who are verified on their software development skills and problem-solving abilities.,2021
Clensta,BioTechnology,,"$600,000",New Delhi,A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,2021
FarMart,AgriTech,Pre-series A,"$24,000,000",Gurugram,FarMart is a micro-SaaS platform that helps food businesses source high quality produce at affordable prices,2021
Kodo Card,FinTech,Seed,"$8,000,000",Mumbai,Kodo card is a corporate card for new economy businesses in India.,2021
Polygon,Crypto,,Undisclosed,Mumbai,Polygon is a blockchain scalability platform.,2021
Get My Parking,Mobility,,"$6,000,000",New Delhi,"Get My Parking, is a B2B Platform-as-a-Service company.",2021
Cellestial,Electronics,Pre-series A,"$500,000",Hyderabad,Cellestial E-mobility is a city-based startup working in developing electric tractors with the longest battery life.,2021
FanCode,Sports startup,,"$50,000,000",Mumbai,"FanCode is a multi sport aggregator platform for every sports fan, focusing on long trail sports content and contextual commerce.",2021
Jai Kisan,FinTech,Series A,"$30,000,000",Mumbai,Jai Kisan is a fintech platform that provides sustainable financing for rural emerging markets,2021
Plum,HealthCare,Series A,"$15,000,000",Bangalore,High quality health insurance and health benefits,2021
ThatMate,HealthCare,,"$140,000",Satara,ThatMate is a sexual and mental wellness app for teens.,2021
Klassroom,EdTech,Pre-series A,"$200,000",Mumbai,Klassroom offers a one-of-a-kind LIVE interactive learning experience to students.,2021
Convin,SaaS startup,Pre-seed,"$300,000",Bangalore,Convin is a conversation intelligence platform that helps remote sales teams to understand conversations on a deeper levels.,2021
Mensa Brands,Clothing,Series A,"$50,000,000",Bangalore,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",2021
Disruptium,Consulting,,"$200,000",Ahmadabad,A consultancy platform for startups,2021
MedTel Healthcare,HealthCare,Pre-series A,"$5,000,000",Orissia,An aggregator for Digital Health Clinics in low resource settings.,2021
Pickright Technologies,FinTech,,"$200,000",Bangalore,Pickright is a fintech marketplace platform for stock market investors and the stock market advisors.,2021
Ingenium,EdTech,Seed,Undisclosed,New Delhi,Ingenium Education has been pushing e-learning by bringing small and medium sized institutes and schools online.,2021
BharatPe,FinTech,Debt,"$6,000,000",New Delhi,"BharatPe is the definitive platform for financial services. We process payments via UPI and POS, and provide credit / loans to our merchants",2021
RuleZero,Tech Startup,Seed,"$1,000,000",Bangalore,Rulezero is a technology platform created by experienced startup executives to automate and manage the equity ownership of a startup.,2021
Rubix Data Sciences,IT startup,Seed,"$800,000",Mumbai,"Rubix Data Sciences focuses on simplifying decision making for Credit, Risk, Compliance, Supply Chain and Marketing professionals in the B2B domain.",2021
Locobuzz,Analytics,Series A,"$4,000,000",Mumbai,LocoBuzz is an analytics-based integrated marketing platform.,2021
We Founder Circle,FinTech,Pre-seed,"$2,000,000",Mumbai,"A global platform of founders for founders offering investment, network and business opportunities.",2021
Haqdarshak,Finance,Pre-series A,"$800,000",Jaipur,Haqdarshak is a tech platform that connects citizens with their eligible welfare schemes.,2021
Celcius,Logistics,Seed,Undisclosed,Mumbai,The “ONLINE” Cold Chain network for Reefer trucks and Cold storage facilities.,2021
Enthu.ai,AI startup,,"$200,000",Chandigarh,Enthu.AI operates as a conversation intelligence startup.,2021
Myelin Foundry,AI startup,Pre-series A,"$1,000,000",Bangalore,"Myelin Foundry is a deep tech product start-up transforming human experiences and industry outcomes by building Artificial Intelligence algorithms on video, voice, and sensor data, for consumer edge devices",2021
SuperOps.ai,AI startup,Seed,"$3,000,000",Chennai,SuperOps.ai is an early stage startup in the MSP space.,2021
6Degree,Retail,,"$1,000,000",Mumbai,6Degree is a fashion retail startup that provides a launchpad to fashion talent and brands using a tech-enabled platform.,2021
Teachmint,EdTech,Series A,"$16,500,000",Bangalore,Teachmint is an online learning platform that focuses on tutor-student connectivity.,2021
Sarathi,HealthCare,Seed,"$100,000",Jodhpur,"Offer a range of services like lab tests, consultation at home, nursing services, emergency services, and appointment management.",2021
Jidoka Technologies,Software,Seed,"$340,000",Chennai,"Deliver automation of visual inspection, retaining the power of human intelligence, to enhance quality and efficiency",2021
Rapido,Transportation,Series C,"$43,000,000",Bangalore,Rapido is a bike taxi service that encourages people to offer bike rides to other people.,2021
BYJU'S,EdTech,,"$150,000,000",Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2021
ElasticRun,E-commerce,Series D,"$75,000,000",Pune,ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers.,2021
Avail Finance,FinTech,Debt,"$3,000,000",Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of India.,2021
Nivesh,FinTech,Pre-series A,"$1,600,000",Noida,Nivesh.com is a mass market mutual funds investment platform.,2021
Thingsup,IoT platform,,"$1,000,000",Pune,Thingsup is an Enterprise Grade IoT Platform.,2021
Arthya Wealth and Investments,FinTech,Pre-series A,"$1,000,000",Mumbai,"A comprehensive, high quality, open-architecture based Wealth Management and Investment Advisory platform, to cater to investors across the board: Individuals, Businesses/Corporate Treasuries, Family Offices, Trusts and more.",2021
Zepto,E-commerce,,$60000000,Mumbai,Grocery delivery startup,2021
Fi,Financial Services,Series B,$50000000,Bangalore,Fi is a neo bank.,2021
Kiko Live,Commerce,Pre-series A,$1000000,Gurugram,Video-based social commerce startup,2021
TurboHire,Computer Software,,$Undisclosed,Hyderabad,"Industry-leading augmented intelligence software for Talent Intelligence, Recruitment Automation, and Applicant Tracking",2021
The Hosteller,Hospitality,Pre-series A,$1000000,Mumbai,"Pit-stop for global as well as local travellers to relax, rejuvenate and experience India’s rich heritage while not worrying about a clean, safe and smart place to stay.",2021
SatSure,Defense & Space,,$Undisclosed,Bangalore,SatSure is an innovative decision analytics company,2021
Ruptok Fintech,Financial Services,Pre-series A,$2000000,New Delhi,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",2021
VilCart,Retail,,$2000000,Bangalore,Vilcart's motto is sustainable rural development through stability for rural retailers.,2021
Dogsee Chew,Food & Beverages,Pre-series A,$7000000,Bangalore,100% Natural Dog Treats.,2021
Advantage Club,HR Tech,Pre-series A,$3300000,Gurugram,Advantage Club is India's largest employee engagement platform.,2021
TRDR,Financial Services,,$150000,Bangalore,TRDR is an all-new approach to investing.,2021
Zoomcar,Mobility,,$92000000,Bangalore,Zoomcar holds the distinction of being India’s first personal mobility platform,2021
Leap India,Logistics & Supply Chain,,$10000000,Mumbai,"""Leading Enterprise in Asset Pooling"" India's Largest Sustainable Supply Chain Solutions Company.",2021
SuperBottoms,Consumer Goods,,$400000,Mumbai,SuperBottoms was born out of a personal passion for cloth diapering that would give the convenience of diapers while not harming the environment and baby’s skin.,2021
Cora Health,"Health, Wellness & Fitness",Seed,$600000,Bangalore,Social commerce marketplace for everyday health and wellness.,2021
Battery Smart,Renewables & Environment,Pre-series A,$7000000,New Delhi,Battery Smart is building India’s largest network of battery swapping stations providing Li-ion batteries,2021
The Good Glamm Group,Information Technology & Services,Series D,$150000000,Pune,South Asia’s largest Content-to-Commerce scale-up investing $100 million in fast-growing beauty & personal care brands.,2021
Mosaic Wellness,"Health, Wellness & Fitness",Series A,$24000000,Mumbai,A platform of digital first health clinics for men and women,2021
CloudFiles,SaaS startup,Pre-seed,$300000,Bangalore,"Supercharge files with enterprise-grade security, page-by-page analytics and powerful content automations.",2021
The Viral Fever,Entertainment,,$2000000,Mumbai,India's leading digital entertainment network.,2021
Xpand,Retail,Pre-series A,$1500000,New Delhi,LMCE handholds brands and enables their reach across the UNSERVED & UNDER-SERVED pockets of the country in a SUSTAINABLE manner to drive MEASURABLE growth.,2021
Troo Good,E-commerce,Series A,$7000000,Hyderabad,An FMCG company selling nutritious products at an affordable price points.,2021
Prodo,Business Supplies & Equipment,Pre-seed,$300000,New Delhi,"Prodo is an e-commerce platform that provides manufacturing of made-to-order, readymade and white labeled consumables for medium and large enterprises.",2021
Unnati,FinTech,Series A,$7000000,Noida,Fintech powered digital agri ecosystem,2021
Lysto,NFT,Seed,$3000000,Bangalore,"Lysto is building APIs, Tools & Infrastructure to enable the creation & distribution of NFTs across platforms with a few clicks or few lines of code.",2021
Wakefit,Furniture,Series C,$20000000,Bangalore,"A home solutions and sleep company, currently collaborating with the world's biggest sleep influencer.",2021
Buyofuel,Oil & Energy,Seed,$100000,Coimbatore,Green Fuels Marketplace,2021
ElectricPe,EV,Seed,$3000000,Bangalore,India's largest Electric Vehicle Charging Platform,2021
Vayana Network,Financial Services,Series C,$30000000,Pune,"Vayana Network is an electronic network that connects Corporates and their Supply Chain to Financial Institutions for easy, quick and low-cost access to Trade Financing of their Payables and Receivables.",2021
Valuationary,E-learning,Pre-seed,$100000,Surat,EdTech platform upskilling candidates to bag deserving finance job roles.,2021
Knocksense,Online Media,,$150000,Lucknow,Knocksense is a local news and recommendations platform.,2021
Petpooja,Information Technology & Services,,$4500000,Ahmedabad,"Petpooja is the largest next-generation PoS platform for the F&B sector with more than 25,000+ clients across India and UAE.",2021
Wingreens Farms,Food & Beverages,,$17000000,Gurugram,"Wingreens Farms is a fully integrated (farm to retail) Food Company in the business of making and selling a range of fresh, healthy, tasty and innovative food products.",2021
Doola,Company-as-a-Service,,$3000000,New York,The ultimate One-Stop-Shop™? to help US and Non-US Founders to turn an idea into their dream US Business,2021
EyeMyEye,Eyewear,Pre-series A,$2000000,Gurugram,"Shop the latest Eyeglasses, Sunglasses, Power Sunglasses, Contact Lens and more.",2021
Bombay Hemp Company,Textiles,,$2000000,Mumbai,"BOHECO was founded to research on and promote industrial hemp, the super crop of our era in India. BOHECO was formally registered under The Companies Act",2021
DGV,Information Technology & Services,Pre-series A,$3000000,Bangalore,NeoBanking for Bharat,2021
GuardianLink,Information Technology & Services,Series A,$12000000,Chennai,Building tech infrastructure to help NFT commerce go mainstream,2021
Clinikk,Hospital & Health Care,Pre-series A,$4000000,Bangalore,Transforming health insurance by building India's first managed care model,2021
Toplyne,Computer Software,,$2500000,Bangalore,Toplyne helps sales teams at product-led companies convert their freemium users!,2021
Mensa,D2C,Series B,$135000000,Bangalore,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",2021
GENLEAP,Professional Training & Coaching,Seed,$8000000,Haryana,GenLeap is India’s first self-discovery and career lifecycle management platform.,2021
Planys,Maritime,Pre-series A,$1600000,Chennai,Planys is an Indian deep tech start-up creating a paradigm shift in the underwater inspection industry.,2021
Wonderchef,Consumer Goods,,$20000000,Mumbai,"Wonderchef Cookware and Appliances is a perfect blend of health, taste, and convenience that inspires us to 'cook with pride'.",2021
GoKwik,Information Technology & Services,Series A,$15000000,New Delhi,GoKwik is a platform for solving shopping experience problems on e-commerce websites on the internet.,2021
Velocity,Financial Services,Series A,$20000000,Bangalore,"Velocity provides revenue based financing, up to Rs 3 crores, for marketing and inventory spends of online businesses.",2021
SalaryBox,Financial Services,Seed,$4000000,Gurugram,SalaryBox is solution that makes employee management effortless.,2021
Boingg,Furniture,Seed,$200000,Gurugram,D2C furniture brand,2021
Better Capital,Venture Capital & Private Equity,,$15000000,Santra,"Better is a top-tier India-focused pre-seed venture firm with a portfolio of 100+ companies including stellar successes like Rupeek, Open, Khatabook, Bijak",2021
Tickertape,Financial Services,,$5000000,Bangalore,"Tickertape provides data, information & content for Indian stocks, ETFs & indices",2021
Zenpay Solutions,Financial Services,,$Undisclosed,New Delhi,"India’s fastest growing fintech company, which has revolutionized the ultimate banking experience especially by reaching out to thousands of blue-collared employees by promoting digital banking solutions across India.",2021
Disprz,E-learning,Series B,$13000000,Mumbai,An AI-powered right skilling suite that helps enterprises unlock business potential.,2021
Arbo Works,Computer Software,,$Undisclosed,"Mountain View, CA",Finance technology,2021
Inzpira,E-learning,Seed,$300000,Trivandrum,"Inzpira is India's only Live online 1:1 platform for Language Learning & Test Preparation that lets users instantly connect with expert trainers and learn anytime, from anywhere.",2021
Defy,Financial Services,,$5500000,Bangalore,Building India's first social crypto exchange,2021
Mindhouse,"Health, Wellness & Fitness",Seed,$6000000,Gurugram,Mindhouse is a Yoga & Nutrition driven personalized healthcare platform.,2021
Homversity,Housing Marketplace,,"$$1,55,000",Ahmedabad,Homversity is the digital ecosystem that aims to support the 93 BN USD student housing & Co-living industry in India.,2021
Toppersnotes,Education Management,Seed,$1000000,Jaipur,"Toppersnotes is an edtech company, primarily operating in the test preparation industry.",2021
NoBroker.com,Real Estate,Series E,$2100000,Bangalore,NoBroker is a disruptive force in the Real Estate Industry.,2021
Haber,Industrial Automation,Series B,$20000000,Pune,"Real-time, automated insights to increase plant efficiency",2021
True Balance,Financial Services,,$30000000,Gurugram,"Balancehero India Private Limited (BHI), the wholly owned subsidiary of Balancehero Co. Ltd., Korea which runs and operates mobile App “True Balance”.",2021
Recordent,Financial Services,,$400000,Hyderabad,Helping MSMEs collect customer dues faster & reduce risk by checking credit & payment history before offering credit,2021
Koparo,Consumer Goods,Seed,$700000,New Delhi,Koparo is a direct-to-consumer brand that is addressing the needs of modern Indian families and their homes.,2021
Indifi,Financial Services,,$40000000,Gurugram,Indifi believes in helping small businesses grow by offering loans to those that have potential and intent.,2021
Settl,Real Estate,Seed,$500000,Bangalore,Settl. is a technology-driven accommodation platform focused on providing a convenient and high-quality living experience for young millennials.,2021
Park+,Tech startup,Series B,$25000000,New Delhi,Building an eco-system for car owners which will be a one-stop solution for all their needs.,2021
